Calculator Type,JID,Surface,Surface Energy (J/m^2)
chgnet,JVASP-1002,"surface_energy for JVASP-1002 with indices [1, 1, 0]",0.51105203
mace,JVASP-1002,"surface_energy for JVASP-1002 with indices [1, 1, 0]",0.954236332
matgl,JVASP-1002,"surface_energy for JVASP-1002 with indices [1, 1, 0]",0.478474357
JARVIS,JVASP-1002,"surface_energy for JVASP-1002 with indices [1, 1, 0]",1.66
sevennet,JVASP-1002,"surface_energy for JVASP-1002 with indices [1, 1, 1]",0.853998309
alignn_ff,JVASP-1002,"surface_energy for JVASP-1002 with indices [1, 1, 1]",0.818993529
chgnet,JVASP-1002,"surface_energy for JVASP-1002 with indices [1, 1, 1]",0.432632557
mace,JVASP-1002,"surface_energy for JVASP-1002 with indices [1, 1, 1]",0.775723668
matgl,JVASP-1002,"surface_energy for JVASP-1002 with indices [1, 1, 1]",0.372730934
JARVIS,JVASP-1002,"surface_energy for JVASP-1002 with indices [1, 1, 1]",1.6
sevennet,JVASP-1029,"surface_energy for JVASP-1029 with indices [0, 1, 0]",1.877974152
mace,JVASP-1029,"surface_energy for JVASP-1029 with indices [0, 1, 0]",1.891118031
alignn_ff,JVASP-1029,"surface_energy for JVASP-1029 with indices [0, 1, 0]",-1.29555945
chgnet,JVASP-1029,"surface_energy for JVASP-1029 with indices [0, 1, 0]",0.956314022
matgl,JVASP-1029,"surface_energy for JVASP-1029 with indices [0, 1, 0]",1.131209144
sevennet,JVASP-1029,"surface_energy for JVASP-1029 with indices [0, 1, 1]",-1.57971E+11
mace,JVASP-1029,"surface_energy for JVASP-1029 with indices [0, 1, 1]",-43158535
alignn_ff,JVASP-1029,"surface_energy for JVASP-1029 with indices [0, 1, 1]",18.68364141
chgnet,JVASP-1029,"surface_energy for JVASP-1029 with indices [0, 1, 1]",1.641214702
matgl,JVASP-1029,"surface_energy for JVASP-1029 with indices [0, 1, 1]",1.678978799
sevennet,JVASP-1029,"surface_energy for JVASP-1029 with indices [1, 0, 0]",1.877983779
mace,JVASP-1029,"surface_energy for JVASP-1029 with indices [1, 0, 0]",1.891118031
alignn_ff,JVASP-1029,"surface_energy for JVASP-1029 with indices [1, 0, 0]",-1.295555696
chgnet,JVASP-1029,"surface_energy for JVASP-1029 with indices [1, 0, 0]",0.956314022
matgl,JVASP-1029,"surface_energy for JVASP-1029 with indices [1, 0, 0]",1.125476541
JARVIS,JVASP-1029,"surface_energy for JVASP-1029 with indices [1, 0, 0]",2.27
sevennet,JVASP-1029,"surface_energy for JVASP-1029 with indices [1, 1, 0]",1.519371541
mace,JVASP-1029,"surface_energy for JVASP-1029 with indices [1, 1, 0]",1.622580035
alignn_ff,JVASP-1029,"surface_energy for JVASP-1029 with indices [1, 1, 0]",-1.06175061
chgnet,JVASP-1029,"surface_energy for JVASP-1029 with indices [1, 1, 0]",0.60962161
matgl,JVASP-1029,"surface_energy for JVASP-1029 with indices [1, 1, 0]",0.700961024
alignn_ff,JVASP-105410,"surface_energy for JVASP-105410 with indices [0, 1, 1]",0.682543404
sevennet,JVASP-105410,"surface_energy for JVASP-105410 with indices [0, 1, 1]",0.934979557
mace,JVASP-105410,"surface_energy for JVASP-105410 with indices [0, 1, 1]",0.75987973
chgnet,JVASP-105410,"surface_energy for JVASP-105410 with indices [0, 1, 1]",0.37627626
matgl,JVASP-105410,"surface_energy for JVASP-105410 with indices [0, 1, 1]",0.402961863
alignn_ff,JVASP-105410,"surface_energy for JVASP-105410 with indices [1, 1, 0]",0.682543404
sevennet,JVASP-105410,"surface_energy for JVASP-105410 with indices [1, 1, 0]",0.934979557
mace,JVASP-105410,"surface_energy for JVASP-105410 with indices [1, 1, 0]",0.759878763
chgnet,JVASP-105410,"surface_energy for JVASP-105410 with indices [1, 1, 0]",0.37627626
matgl,JVASP-105410,"surface_energy for JVASP-105410 with indices [1, 1, 0]",0.402813721
alignn_ff,JVASP-107,"surface_energy for JVASP-107 with indices [1, 1, 0]",0.037978199
mace,JVASP-107,"surface_energy for JVASP-107 with indices [1, 1, 0]",2.657310122
sevennet,JVASP-107,"surface_energy for JVASP-107 with indices [1, 1, 0]",2.458803688
chgnet,JVASP-107,"surface_energy for JVASP-107 with indices [1, 1, 0]",2.232151177
matgl,JVASP-107,"surface_energy for JVASP-107 with indices [1, 1, 0]",1.36913722
alignn_ff,JVASP-113,"surface_energy for JVASP-113 with indices [0, 0, 1]",0.36204426
chgnet,JVASP-113,"surface_energy for JVASP-113 with indices [0, 0, 1]",1.010923528
mace,JVASP-113,"surface_energy for JVASP-113 with indices [0, 0, 1]",1.231428055
sevennet,JVASP-113,"surface_energy for JVASP-113 with indices [0, 0, 1]",1.196305546
matgl,JVASP-113,"surface_energy for JVASP-113 with indices [0, 0, 1]",0.960356243
alignn_ff,JVASP-113,"surface_energy for JVASP-113 with indices [0, 1, 0]",1.54020359
chgnet,JVASP-113,"surface_energy for JVASP-113 with indices [0, 1, 0]",1.576477286
mace,JVASP-113,"surface_energy for JVASP-113 with indices [0, 1, 0]",1.968424742
sevennet,JVASP-113,"surface_energy for JVASP-113 with indices [0, 1, 0]",1.995715378
matgl,JVASP-113,"surface_energy for JVASP-113 with indices [0, 1, 0]",2.492687363
alignn_ff,JVASP-113,"surface_energy for JVASP-113 with indices [0, 1, 1]",-0.348456163
chgnet,JVASP-113,"surface_energy for JVASP-113 with indices [0, 1, 1]",1.207144682
mace,JVASP-113,"surface_energy for JVASP-113 with indices [0, 1, 1]",1.470173775
sevennet,JVASP-113,"surface_energy for JVASP-113 with indices [0, 1, 1]",1.478904506
matgl,JVASP-113,"surface_energy for JVASP-113 with indices [0, 1, 1]",1.118050666
alignn_ff,JVASP-113,"surface_energy for JVASP-113 with indices [1, 0, 0]",-0.081786918
chgnet,JVASP-113,"surface_energy for JVASP-113 with indices [1, 0, 0]",1.185380672
mace,JVASP-113,"surface_energy for JVASP-113 with indices [1, 0, 0]",1.417238051
sevennet,JVASP-113,"surface_energy for JVASP-113 with indices [1, 0, 0]",1.324681461
matgl,JVASP-113,"surface_energy for JVASP-113 with indices [1, 0, 0]",0.900043132
alignn_ff,JVASP-113,"surface_energy for JVASP-113 with indices [1, 1, 0]",-0.495868323
chgnet,JVASP-113,"surface_energy for JVASP-113 with indices [1, 1, 0]",0.941500255
mace,JVASP-113,"surface_energy for JVASP-113 with indices [1, 1, 0]",1.144099382
sevennet,JVASP-113,"surface_energy for JVASP-113 with indices [1, 1, 0]",1.164843421
matgl,JVASP-113,"surface_energy for JVASP-113 with indices [1, 1, 0]",0.84621918
alignn_ff,JVASP-113,"surface_energy for JVASP-113 with indices [1, 1, 1]",-0.467314673
chgnet,JVASP-113,"surface_energy for JVASP-113 with indices [1, 1, 1]",0.867778058
mace,JVASP-113,"surface_energy for JVASP-113 with indices [1, 1, 1]",1.076334414
sevennet,JVASP-113,"surface_energy for JVASP-113 with indices [1, 1, 1]",1.029373317
matgl,JVASP-113,"surface_energy for JVASP-113 with indices [1, 1, 1]",0.672284241
alignn_ff,JVASP-1174,"surface_energy for JVASP-1174 with indices [0, 1, 1]",0.421037169
sevennet,JVASP-1174,"surface_energy for JVASP-1174 with indices [0, 1, 1]",0.544167341
chgnet,JVASP-1174,"surface_energy for JVASP-1174 with indices [0, 1, 1]",0.256709277
mace,JVASP-1174,"surface_energy for JVASP-1174 with indices [0, 1, 1]",0.488797693
matgl,JVASP-1174,"surface_energy for JVASP-1174 with indices [0, 1, 1]",0.186818615
alignn_ff,JVASP-1174,"surface_energy for JVASP-1174 with indices [1, 1, 0]",0.421037859
sevennet,JVASP-1174,"surface_energy for JVASP-1174 with indices [1, 1, 0]",0.544169251
chgnet,JVASP-1174,"surface_energy for JVASP-1174 with indices [1, 1, 0]",0.256709277
mace,JVASP-1174,"surface_energy for JVASP-1174 with indices [1, 1, 0]",0.488797693
matgl,JVASP-1174,"surface_energy for JVASP-1174 with indices [1, 1, 0]",0.186379371
JARVIS,JVASP-1174,"surface_energy for JVASP-1174 with indices [1, 1, 0]",0.67
alignn_ff,JVASP-1177,"surface_energy for JVASP-1177 with indices [0, 1, 1]",0.134058483
sevennet,JVASP-1177,"surface_energy for JVASP-1177 with indices [0, 1, 1]",0.367610825
chgnet,JVASP-1177,"surface_energy for JVASP-1177 with indices [0, 1, 1]",0.225424124
mace,JVASP-1177,"surface_energy for JVASP-1177 with indices [0, 1, 1]",0.314661629
matgl,JVASP-1177,"surface_energy for JVASP-1177 with indices [0, 1, 1]",0.133307895
alignn_ff,JVASP-1177,"surface_energy for JVASP-1177 with indices [1, 1, 0]",0.13405686
sevennet,JVASP-1177,"surface_energy for JVASP-1177 with indices [1, 1, 0]",0.367611246
chgnet,JVASP-1177,"surface_energy for JVASP-1177 with indices [1, 1, 0]",0.225421875
mace,JVASP-1177,"surface_energy for JVASP-1177 with indices [1, 1, 0]",0.314657628
matgl,JVASP-1177,"surface_energy for JVASP-1177 with indices [1, 1, 0]",0.133052448
alignn_ff,JVASP-1180,"surface_energy for JVASP-1180 with indices [0, 1, 0]",-0.070433067
chgnet,JVASP-1180,"surface_energy for JVASP-1180 with indices [0, 1, 0]",0.647507086
mace,JVASP-1180,"surface_energy for JVASP-1180 with indices [0, 1, 0]",1.041957207
sevennet,JVASP-1180,"surface_energy for JVASP-1180 with indices [0, 1, 0]",1.093492824
matgl,JVASP-1180,"surface_energy for JVASP-1180 with indices [0, 1, 0]",0.595945241
alignn_ff,JVASP-1180,"surface_energy for JVASP-1180 with indices [1, 0, 0]",-0.070437671
chgnet,JVASP-1180,"surface_energy for JVASP-1180 with indices [1, 0, 0]",0.647509785
mace,JVASP-1180,"surface_energy for JVASP-1180 with indices [1, 0, 0]",1.041960288
sevennet,JVASP-1180,"surface_energy for JVASP-1180 with indices [1, 0, 0]",1.093492824
matgl,JVASP-1180,"surface_energy for JVASP-1180 with indices [1, 0, 0]",0.602455356
alignn_ff,JVASP-1180,"surface_energy for JVASP-1180 with indices [1, 1, 0]",0.120411959
chgnet,JVASP-1180,"surface_energy for JVASP-1180 with indices [1, 1, 0]",0.696721456
mace,JVASP-1180,"surface_energy for JVASP-1180 with indices [1, 1, 0]",1.156065688
sevennet,JVASP-1180,"surface_energy for JVASP-1180 with indices [1, 1, 0]",1.140943745
matgl,JVASP-1180,"surface_energy for JVASP-1180 with indices [1, 1, 0]",0.687851022
alignn_ff,JVASP-1183,"surface_energy for JVASP-1183 with indices [0, 1, 1]",0.710276084
chgnet,JVASP-1183,"surface_energy for JVASP-1183 with indices [0, 1, 1]",0.211097665
mace,JVASP-1183,"surface_energy for JVASP-1183 with indices [0, 1, 1]",0.528491285
sevennet,JVASP-1183,"surface_energy for JVASP-1183 with indices [0, 1, 1]",0.516120846
matgl,JVASP-1183,"surface_energy for JVASP-1183 with indices [0, 1, 1]",0.187685012
alignn_ff,JVASP-1183,"surface_energy for JVASP-1183 with indices [1, 1, 0]",0.710276563
chgnet,JVASP-1183,"surface_energy for JVASP-1183 with indices [1, 1, 0]",0.211057173
mace,JVASP-1183,"surface_energy for JVASP-1183 with indices [1, 1, 0]",0.528491915
sevennet,JVASP-1183,"surface_energy for JVASP-1183 with indices [1, 1, 0]",0.516120846
matgl,JVASP-1183,"surface_energy for JVASP-1183 with indices [1, 1, 0]",0.18726239
JARVIS,JVASP-1183,"surface_energy for JVASP-1183 with indices [1, 1, 0]",0.73
sevennet,JVASP-1186,"surface_energy for JVASP-1186 with indices [0, 1, 1]",0.399061077
alignn_ff,JVASP-1186,"surface_energy for JVASP-1186 with indices [0, 1, 1]",0.13966641
chgnet,JVASP-1186,"surface_energy for JVASP-1186 with indices [0, 1, 1]",0.164000856
mace,JVASP-1186,"surface_energy for JVASP-1186 with indices [0, 1, 1]",0.462429549
matgl,JVASP-1186,"surface_energy for JVASP-1186 with indices [0, 1, 1]",0.162761725
sevennet,JVASP-1186,"surface_energy for JVASP-1186 with indices [1, 1, 0]",0.399061077
alignn_ff,JVASP-1186,"surface_energy for JVASP-1186 with indices [1, 1, 0]",0.139667005
chgnet,JVASP-1186,"surface_energy for JVASP-1186 with indices [1, 1, 0]",0.163999151
mace,JVASP-1186,"surface_energy for JVASP-1186 with indices [1, 1, 0]",0.462429549
matgl,JVASP-1186,"surface_energy for JVASP-1186 with indices [1, 1, 0]",0.163276339
JARVIS,JVASP-1186,"surface_energy for JVASP-1186 with indices [1, 1, 0]",0.57
alignn_ff,JVASP-1189,"surface_energy for JVASP-1189 with indices [0, 1, 1]",0.093443306
chgnet,JVASP-1189,"surface_energy for JVASP-1189 with indices [0, 1, 1]",0.125229839
mace,JVASP-1189,"surface_energy for JVASP-1189 with indices [0, 1, 1]",0.367913059
sevennet,JVASP-1189,"surface_energy for JVASP-1189 with indices [0, 1, 1]",0.32115257
matgl,JVASP-1189,"surface_energy for JVASP-1189 with indices [0, 1, 1]",0.146531615
alignn_ff,JVASP-1189,"surface_energy for JVASP-1189 with indices [1, 1, 0]",0.093443565
chgnet,JVASP-1189,"surface_energy for JVASP-1189 with indices [1, 1, 0]",0.125012743
mace,JVASP-1189,"surface_energy for JVASP-1189 with indices [1, 1, 0]",0.367914232
sevennet,JVASP-1189,"surface_energy for JVASP-1189 with indices [1, 1, 0]",0.32115257
matgl,JVASP-1189,"surface_energy for JVASP-1189 with indices [1, 1, 0]",0.147278962
alignn_ff,JVASP-1192,"surface_energy for JVASP-1192 with indices [0, 1, 1]",0.087276594
chgnet,JVASP-1192,"surface_energy for JVASP-1192 with indices [0, 1, 1]",0.14909254
mace,JVASP-1192,"surface_energy for JVASP-1192 with indices [0, 1, 1]",0.304856843
sevennet,JVASP-1192,"surface_energy for JVASP-1192 with indices [0, 1, 1]",0.272248975
matgl,JVASP-1192,"surface_energy for JVASP-1192 with indices [0, 1, 1]",0.152751943
alignn_ff,JVASP-1192,"surface_energy for JVASP-1192 with indices [1, 1, 0]",0.087277189
chgnet,JVASP-1192,"surface_energy for JVASP-1192 with indices [1, 1, 0]",0.14909031
mace,JVASP-1192,"surface_energy for JVASP-1192 with indices [1, 1, 0]",0.304855803
sevennet,JVASP-1192,"surface_energy for JVASP-1192 with indices [1, 1, 0]",0.272248975
matgl,JVASP-1192,"surface_energy for JVASP-1192 with indices [1, 1, 0]",0.152855792
JARVIS,JVASP-1192,"surface_energy for JVASP-1192 with indices [1, 1, 0]",0.38
alignn_ff,JVASP-1195,"surface_energy for JVASP-1195 with indices [0, 1, 0]",-0.277304536
chgnet,JVASP-1195,"surface_energy for JVASP-1195 with indices [0, 1, 0]",0.669753375
mace,JVASP-1195,"surface_energy for JVASP-1195 with indices [0, 1, 0]",0.875028191
sevennet,JVASP-1195,"surface_energy for JVASP-1195 with indices [0, 1, 0]",0.794769027
matgl,JVASP-1195,"surface_energy for JVASP-1195 with indices [0, 1, 0]",0.799137589
alignn_ff,JVASP-1195,"surface_energy for JVASP-1195 with indices [1, 0, 0]",-0.277304536
chgnet,JVASP-1195,"surface_energy for JVASP-1195 with indices [1, 0, 0]",0.669753375
mace,JVASP-1195,"surface_energy for JVASP-1195 with indices [1, 0, 0]",0.875028191
sevennet,JVASP-1195,"surface_energy for JVASP-1195 with indices [1, 0, 0]",0.794772167
matgl,JVASP-1195,"surface_energy for JVASP-1195 with indices [1, 0, 0]",0.803198487
alignn_ff,JVASP-1195,"surface_energy for JVASP-1195 with indices [1, 1, 0]",-0.342506112
chgnet,JVASP-1195,"surface_energy for JVASP-1195 with indices [1, 1, 0]",0.69005614
mace,JVASP-1195,"surface_energy for JVASP-1195 with indices [1, 1, 0]",0.898284843
sevennet,JVASP-1195,"surface_energy for JVASP-1195 with indices [1, 1, 0]",0.81560781
matgl,JVASP-1195,"surface_energy for JVASP-1195 with indices [1, 1, 0]",0.904308559
alignn_ff,JVASP-1198,"surface_energy for JVASP-1198 with indices [0, 1, 1]",0.057608141
chgnet,JVASP-1198,"surface_energy for JVASP-1198 with indices [0, 1, 1]",0.088101761
mace,JVASP-1198,"surface_energy for JVASP-1198 with indices [0, 1, 1]",0.299507194
sevennet,JVASP-1198,"surface_energy for JVASP-1198 with indices [0, 1, 1]",0.214952141
matgl,JVASP-1198,"surface_energy for JVASP-1198 with indices [0, 1, 1]",0.061986298
alignn_ff,JVASP-1198,"surface_energy for JVASP-1198 with indices [1, 1, 0]",0.057607544
chgnet,JVASP-1198,"surface_energy for JVASP-1198 with indices [1, 1, 0]",0.088100568
mace,JVASP-1198,"surface_energy for JVASP-1198 with indices [1, 1, 0]",0.299507194
sevennet,JVASP-1198,"surface_energy for JVASP-1198 with indices [1, 1, 0]",0.214950952
matgl,JVASP-1198,"surface_energy for JVASP-1198 with indices [1, 1, 0]",0.062398048
JARVIS,JVASP-1198,"surface_energy for JVASP-1198 with indices [1, 1, 0]",0.36
alignn_ff,JVASP-1201,"surface_energy for JVASP-1201 with indices [0, 1, 1]",0.238529774
chgnet,JVASP-1201,"surface_energy for JVASP-1201 with indices [0, 1, 1]",-0.031697247
mace,JVASP-1201,"surface_energy for JVASP-1201 with indices [0, 1, 1]",0.049303518
sevennet,JVASP-1201,"surface_energy for JVASP-1201 with indices [0, 1, 1]",-0.041144198
matgl,JVASP-1201,"surface_energy for JVASP-1201 with indices [0, 1, 1]",0.065740045
alignn_ff,JVASP-1201,"surface_energy for JVASP-1201 with indices [1, 1, 0]",0.238528996
chgnet,JVASP-1201,"surface_energy for JVASP-1201 with indices [1, 1, 0]",-0.036666111
mace,JVASP-1201,"surface_energy for JVASP-1201 with indices [1, 1, 0]",0.049293147
sevennet,JVASP-1201,"surface_energy for JVASP-1201 with indices [1, 1, 0]",-0.044109852
matgl,JVASP-1201,"surface_energy for JVASP-1201 with indices [1, 1, 0]",0.066178529
chgnet,JVASP-1312,"surface_energy for JVASP-1312 with indices [0, 1, 1]",0.62767382
mace,JVASP-1312,"surface_energy for JVASP-1312 with indices [0, 1, 1]",0.898819769
sevennet,JVASP-1312,"surface_energy for JVASP-1312 with indices [0, 1, 1]",1.255370907
matgl,JVASP-1312,"surface_energy for JVASP-1312 with indices [0, 1, 1]",0.586499414
chgnet,JVASP-1312,"surface_energy for JVASP-1312 with indices [1, 1, 0]",0.627674801
mace,JVASP-1312,"surface_energy for JVASP-1312 with indices [1, 1, 0]",0.898819769
sevennet,JVASP-1312,"surface_energy for JVASP-1312 with indices [1, 1, 0]",1.255370907
matgl,JVASP-1312,"surface_energy for JVASP-1312 with indices [1, 1, 0]",0.586636082
JARVIS,JVASP-1312,"surface_energy for JVASP-1312 with indices [1, 1, 0]",2.08
alignn_ff,JVASP-1327,"surface_energy for JVASP-1327 with indices [0, 1, 1]",1.281412323
chgnet,JVASP-1327,"surface_energy for JVASP-1327 with indices [0, 1, 1]",0.529786597
mace,JVASP-1327,"surface_energy for JVASP-1327 with indices [0, 1, 1]",0.725693048
sevennet,JVASP-1327,"surface_energy for JVASP-1327 with indices [0, 1, 1]",0.841434272
matgl,JVASP-1327,"surface_energy for JVASP-1327 with indices [0, 1, 1]",0.605939487
alignn_ff,JVASP-1327,"surface_energy for JVASP-1327 with indices [1, 1, 0]",1.281422383
chgnet,JVASP-1327,"surface_energy for JVASP-1327 with indices [1, 1, 0]",0.529786597
mace,JVASP-1327,"surface_energy for JVASP-1327 with indices [1, 1, 0]",0.725693048
sevennet,JVASP-1327,"surface_energy for JVASP-1327 with indices [1, 1, 0]",0.841430215
matgl,JVASP-1327,"surface_energy for JVASP-1327 with indices [1, 1, 0]",0.60535864
chgnet,JVASP-1372,"surface_energy for JVASP-1372 with indices [0, 1, 1]",0.426999841
alignn_ff,JVASP-1372,"surface_energy for JVASP-1372 with indices [0, 1, 1]",0.75695583
sevennet,JVASP-1372,"surface_energy for JVASP-1372 with indices [0, 1, 1]",0.587853073
mace,JVASP-1372,"surface_energy for JVASP-1372 with indices [0, 1, 1]",0.521250249
matgl,JVASP-1372,"surface_energy for JVASP-1372 with indices [0, 1, 1]",0.374436004
chgnet,JVASP-1372,"surface_energy for JVASP-1372 with indices [1, 1, 0]",0.426996695
alignn_ff,JVASP-1372,"surface_energy for JVASP-1372 with indices [1, 1, 0]",0.75695583
sevennet,JVASP-1372,"surface_energy for JVASP-1372 with indices [1, 1, 0]",0.587850484
mace,JVASP-1372,"surface_energy for JVASP-1372 with indices [1, 1, 0]",0.521250249
matgl,JVASP-1372,"surface_energy for JVASP-1372 with indices [1, 1, 0]",0.375304204
alignn_ff,JVASP-1393,"surface_energy for JVASP-1393 with indices [0, 1, 1]",0.593885836
chgnet,JVASP-1393,"surface_energy for JVASP-1393 with indices [0, 1, 1]",0.406498581
mace,JVASP-1393,"surface_energy for JVASP-1393 with indices [0, 1, 1]",0.589177684
sevennet,JVASP-1393,"surface_energy for JVASP-1393 with indices [0, 1, 1]",0.690353781
matgl,JVASP-1393,"surface_energy for JVASP-1393 with indices [0, 1, 1]",0.576205805
alignn_ff,JVASP-1393,"surface_energy for JVASP-1393 with indices [1, 1, 0]",0.593883027
chgnet,JVASP-1393,"surface_energy for JVASP-1393 with indices [1, 1, 0]",0.406498056
mace,JVASP-1393,"surface_energy for JVASP-1393 with indices [1, 1, 0]",0.589174868
sevennet,JVASP-1393,"surface_energy for JVASP-1393 with indices [1, 1, 0]",0.690353781
matgl,JVASP-1393,"surface_energy for JVASP-1393 with indices [1, 1, 0]",0.576467074
JARVIS,JVASP-1393,"surface_energy for JVASP-1393 with indices [1, 1, 0]",0.88
sevennet,JVASP-1408,"surface_energy for JVASP-1408 with indices [0, 1, 1]",0.458100802
chgnet,JVASP-1408,"surface_energy for JVASP-1408 with indices [0, 1, 1]",0.338102355
alignn_ff,JVASP-1408,"surface_energy for JVASP-1408 with indices [0, 1, 1]",0.183804846
mace,JVASP-1408,"surface_energy for JVASP-1408 with indices [0, 1, 1]",0.38124618
matgl,JVASP-1408,"surface_energy for JVASP-1408 with indices [0, 1, 1]",0.267661132
sevennet,JVASP-1408,"surface_energy for JVASP-1408 with indices [1, 1, 0]",0.458100802
chgnet,JVASP-1408,"surface_energy for JVASP-1408 with indices [1, 1, 0]",0.338080449
alignn_ff,JVASP-1408,"surface_energy for JVASP-1408 with indices [1, 1, 0]",0.183804846
mace,JVASP-1408,"surface_energy for JVASP-1408 with indices [1, 1, 0]",0.38124618
matgl,JVASP-1408,"surface_energy for JVASP-1408 with indices [1, 1, 0]",0.267907443
JARVIS,JVASP-1408,"surface_energy for JVASP-1408 with indices [1, 1, 0]",0.77
alignn_ff,JVASP-14812,"surface_energy for JVASP-14812 with indices [0, 0, 1]",0.058061748
chgnet,JVASP-14812,"surface_energy for JVASP-14812 with indices [0, 0, 1]",0.645919686
mace,JVASP-14812,"surface_energy for JVASP-14812 with indices [0, 0, 1]",0.762187774
sevennet,JVASP-14812,"surface_energy for JVASP-14812 with indices [0, 0, 1]",0.546995112
matgl,JVASP-14812,"surface_energy for JVASP-14812 with indices [0, 0, 1]",0.281875762
alignn_ff,JVASP-14812,"surface_energy for JVASP-14812 with indices [1, 1, 0]",0.01259482
chgnet,JVASP-14812,"surface_energy for JVASP-14812 with indices [1, 1, 0]",0.60054175
mace,JVASP-14812,"surface_energy for JVASP-14812 with indices [1, 1, 0]",0.687243538
sevennet,JVASP-14812,"surface_energy for JVASP-14812 with indices [1, 1, 0]",0.577054713
matgl,JVASP-14812,"surface_energy for JVASP-14812 with indices [1, 1, 0]",0.392816845
alignn_ff,JVASP-14812,"surface_energy for JVASP-14812 with indices [1, 1, 1]",0.013987695
chgnet,JVASP-14812,"surface_energy for JVASP-14812 with indices [1, 1, 1]",0.677384135
mace,JVASP-14812,"surface_energy for JVASP-14812 with indices [1, 1, 1]",0.755300677
sevennet,JVASP-14812,"surface_energy for JVASP-14812 with indices [1, 1, 1]",0.580561132
matgl,JVASP-14812,"surface_energy for JVASP-14812 with indices [1, 1, 1]",0.40970308
alignn_ff,JVASP-14837,"surface_energy for JVASP-14837 with indices [0, 0, 1]",-0.38733901
chgnet,JVASP-14837,"surface_energy for JVASP-14837 with indices [0, 0, 1]",2.347570779
mace,JVASP-14837,"surface_energy for JVASP-14837 with indices [0, 0, 1]",2.730014117
sevennet,JVASP-14837,"surface_energy for JVASP-14837 with indices [0, 0, 1]",3.003614241
matgl,JVASP-14837,"surface_energy for JVASP-14837 with indices [0, 0, 1]",1.995662579
alignn_ff,JVASP-14837,"surface_energy for JVASP-14837 with indices [0, 1, 0]",-0.38733901
chgnet,JVASP-14837,"surface_energy for JVASP-14837 with indices [0, 1, 0]",2.347570779
mace,JVASP-14837,"surface_energy for JVASP-14837 with indices [0, 1, 0]",2.730014117
sevennet,JVASP-14837,"surface_energy for JVASP-14837 with indices [0, 1, 0]",3.003614241
matgl,JVASP-14837,"surface_energy for JVASP-14837 with indices [0, 1, 0]",1.995662579
alignn_ff,JVASP-14837,"surface_energy for JVASP-14837 with indices [0, 1, 1]",-0.373158742
chgnet,JVASP-14837,"surface_energy for JVASP-14837 with indices [0, 1, 1]",2.091275549
mace,JVASP-14837,"surface_energy for JVASP-14837 with indices [0, 1, 1]",2.727261922
sevennet,JVASP-14837,"surface_energy for JVASP-14837 with indices [0, 1, 1]",2.676539236
matgl,JVASP-14837,"surface_energy for JVASP-14837 with indices [0, 1, 1]",1.774389456
alignn_ff,JVASP-14837,"surface_energy for JVASP-14837 with indices [1, 0, 0]",-0.38733901
chgnet,JVASP-14837,"surface_energy for JVASP-14837 with indices [1, 0, 0]",2.347570779
mace,JVASP-14837,"surface_energy for JVASP-14837 with indices [1, 0, 0]",2.730014117
sevennet,JVASP-14837,"surface_energy for JVASP-14837 with indices [1, 0, 0]",3.003614241
