Calculator Type,JID,Formation Energy (eV/atom),Volume (Angstrom^3),Bulk Modulus (GPa),a (Angstrom),b (Angstrom),c (Angstrom),C11 (GPa),C12 (GPa),C44 (GPa)
matgl,JVASP-1177,-0.161959231,241.5682812,90.69537464,6.2316,6.2316,6.2316,9633.719598,8607.859571,2876.169793
alignn_ff,JVASP-1177,-0.17357346,246.9789399,70.60674631,6.19506,6.19506,6.19506,0.43587271,0.150754609,0.348941619
JARVIS,JVASP-1177,-0.14862,237.758773,45.9,6.19506,6.19506,6.19506,72.9,32.4,36.3
mace,JVASP-1180,0.094045637,64.60281807,185.2640669,3.585483,3.585483,5.80677,214.0247167,86.1924307,43.78217138
matgl,JVASP-1180,0.071747617,64.4847294,155.3461841,3.575174,3.575174,5.80385,26761.11152,16276.12921,3608.654933
sevennet,JVASP-1180,0.079291898,64.28080818,187.7304453,3.578418,3.578418,5.80067,225.5560848,74.78866622,54.20361902
chgnet,JVASP-1180,-0.026312824,64.38689928,150.9073372,3.581961,3.581961,5.79447,165.7306301,75.71242473,29.94153287
alignn_ff,JVASP-1180,0.388518726,67.69783122,176.7424442,3.56961,3.56961,5.79204,-6.814227267,-11.7736233,0.07893092
JARVIS,JVASP-1180,0.00906,63.90032917,126.27,3.571581,3.571581,5.78431,204.1,97.9,53.1
mace,JVASP-1183,-0.204199313,211.8736221,108.5437571,5.95871,5.95871,5.95871,76.77036604,54.53679287,42.45642976
chgnet,JVASP-1183,-0.167412744,210.290991,100.1375758,5.95895,5.95895,5.95895,51.94957729,36.33299756,26.43920775
matgl,JVASP-1183,-0.241130964,214.0469503,84.42567544,5.95549,5.95549,5.95549,12087.66098,10562.62471,4942.844685
sevennet,JVASP-1183,-0.21333051,211.9112948,112.6419988,5.95832,5.95832,5.95832,92.16002026,40.01156896,44.56713617
JARVIS,JVASP-1183,-0.22434,211.194445,59.7,5.95517,5.95517,5.95517,85.7,46.7,40.4
chgnet,JVASP-1186,-0.18662032,237.0750884,80.90278162,6.18904,6.18904,6.18904,44.27853494,34.89495718,16.51832363
mace,JVASP-1186,-0.231987078,237.2151752,84.65846425,6.1885,6.1885,6.1885,55.08211414,38.07219402,37.40717752
sevennet,JVASP-1186,-0.227042418,237.0885374,90.44843306,6.18929,6.18929,6.18929,58.79088667,31.29175012,33.61627538
matgl,JVASP-1186,-0.234309556,238.8148501,77.84110372,6.20294,6.20294,6.20294,6370.33369,6017.425149,3641.977113
alignn_ff,JVASP-1186,-0.263647518,239.9424591,58.35509855,6.16945,6.16945,6.16945,0.837956814,0.454433235,0.515272302
JARVIS,JVASP-1186,-0.21205,234.8223049,50.03,6.16945,6.16945,6.16945,71.1,39.5,32.8
mace,JVASP-1189,-0.141821055,292.1153919,69.39061607,6.6339,6.6339,6.6339,47.44185761,37.77464459,27.27741561
matgl,JVASP-1189,-0.127611837,290.1510514,77.16526006,6.63627,6.63627,6.63627,6741.186584,6372.568349,2996.144042
sevennet,JVASP-1189,-0.113835949,293.0814046,72.42658618,6.63543,6.63543,6.63543,50.498892,31.24609461,31.03908154
chgnet,JVASP-1189,-0.183353045,293.5137472,59.806977,6.64271,6.64271,6.64271,43.24184194,43.00407255,15.03063398
alignn_ff,JVASP-1189,-0.098355804,281.9592684,31.76548725,6.60978,6.60978,6.60978,-0.474215223,-0.429159046,-0.299774864
JARVIS,JVASP-1189,-0.09369,288.7759452,38.13,6.60978,6.60978,6.60978,54.6,29.9,24.7
mace,JVASP-1192,-0.625478187,239.9422491,85.00762319,6.21832,6.21832,6.21832,55.55754415,41.92876065,28.97448903
chgnet,JVASP-1192,-0.792685083,238.7927654,76.00361092,6.20692,6.20692,6.20692,57.03777321,44.21733591,30.60845446
matgl,JVASP-1192,-0.632680512,239.1738825,84.31060757,6.21115,6.21115,6.21115,8047.690708,7119.507414,2550.662789
sevennet,JVASP-1192,-0.631667353,239.3106373,85.50967856,6.21242,6.21242,6.21242,55.47862787,39.67697285,37.01414758
alignn_ff,JVASP-1192,-0.652901581,241.2624084,40.70279855,6.16789,6.16789,6.16789,-0.106089702,-0.577880551,0.128276597
JARVIS,JVASP-1192,-0.58943,234.6442193,48.23,6.16789,6.16789,6.16789,58.7,43,20.6
mace,JVASP-1195,-1.365951457,49.48727486,188.2856861,3.280848,3.280848,5.30514,230.1154625,90.97858879,46.99700242
chgnet,JVASP-1195,-1.781147019,49.53645725,189.7580597,3.286959,3.286959,5.29897,213.9543962,88.6470775,41.91185732
matgl,JVASP-1195,-1.443243342,49.97342427,178.5829242,3.293496,3.293482,5.31182,30537.79669,14435.0349,5561.906509
sevennet,JVASP-1195,-1.458963392,49.68774476,195.2355358,3.28622,3.28622,5.31103,244.2883159,89.94677614,49.63556309
alignn_ff,JVASP-1195,-1.060506178,43.78392592,116.0990699,3.115153,3.115153,5.05721,25.87652219,11.33629029,5.758042447
JARVIS,JVASP-1195,-1.59197,48.96287343,137.33,3.269478,3.269478,5.28907,195.2,116.1,39.5
mace,JVASP-1198,-0.476983865,236.1383888,83.31224309,6.18127,6.18127,6.18127,57.24581591,42.4957045,31.88721311
chgnet,JVASP-1198,-0.632923556,237.1993381,73.02066859,6.19065,6.19065,6.19065,55.99113816,46.49122261,24.69566345
matgl,JVASP-1198,-0.476053624,238.6737412,77.9856379,6.18731,6.18731,6.18731,8385.804266,8130.917582,2809.657871
sevennet,JVASP-1198,-0.491920779,236.6110004,79.81760177,6.18308,6.18308,6.18308,56.05990533,36.30661348,32.66410206
alignn_ff,JVASP-1198,-0.623480472,250.0767186,62.74554194,6.16379,6.16379,6.16379,0.432627666,0.759160501,-0.494950466
JARVIS,JVASP-1198,-0.45889,234.176603,45.33,6.16379,6.16379,6.16379,64,36,29.5
mace,JVASP-1201,-0.39423139,158.3096852,84.60398366,5.40685,5.40685,5.40685,56.34778988,46.26194397,35.5093594
matgl,JVASP-1201,-0.404776481,152.7467296,70.92987717,5.3371,5.33711,5.33711,5288.963379,4076.87841,1997.277677
chgnet,JVASP-1201,-0.681417851,157.0481204,81.73705563,5.40127,5.40127,5.40127,61.38164725,53.16835066,16.78788944
sevennet,JVASP-1201,-0.382818951,158.0665883,86.37013012,5.41183,5.41183,5.41183,69.95611893,56.6858347,37.50798977
alignn_ff,JVASP-1201,-0.89259335,133.6634313,70.0711865,5.18748,5.18748,5.18748,1.719593953,0.942261273,0.870570744
JARVIS,JVASP-1201,-0.43344,157.3153308,53.27,5.3983,5.3983,5.3983,59.2,50.3,10.8
matgl,JVASP-1312,-0.483555332,92.21890308,283.1623673,4.93176,5.00315,3.74508,33515.1554,34307.66756,8731.519766
mace,JVASP-1312,-0.411848187,93.41390025,275.4270134,4.54045,4.54045,4.54045,194.5443786,131.1284993,116.1542122
chgnet,JVASP-1312,-0.369025105,93.98484931,222.2199014,4.54017,4.54017,4.54017,140.9693229,111.1311178,58.18423058
sevennet,JVASP-1312,-0.44803162,92.99563099,325.6693653,4.53169,4.53169,4.53169,244.7722614,153.2841322,128.5498067
alignn_ff,JVASP-1312,-0.176993759,91.80618079,222.7804836,4.44132,4.44132,4.44132,18.70904345,10.91373184,5.364219029
JARVIS,JVASP-1312,-0.45342,94.43444701,161.63,4.55383,4.55383,4.55383,340.5,72.2,185.4
chgnet,JVASP-1327,-0.627342168,166.3554803,139.0762395,5.51218,5.51218,5.51218,82.84163217,76.64943389,37.16966546
mace,JVASP-1327,-0.619162348,167.4110574,141.3159454,5.51677,5.51677,5.51677,97.93865381,71.70432415,50.37988393
matgl,JVASP-1327,-0.644772023,168.6324639,166.7036572,5.51525,5.51525,5.51523,16235.45221,10561.84767,0.044928606
sevennet,JVASP-1327,-0.65402721,166.2830911,174.4338111,5.50317,5.50317,5.50317,116.3993131,72.34108452,66.64626981
alignn_ff,JVASP-1327,-0.319278927,144.2148743,301.7722211,5.22001,5.22001,5.22001,13.46823339,13.41536039,4.331953037
JARVIS,JVASP-1327,-0.75173,167.676102,83.37,5.5143,5.5143,5.5143,126.3,61.9,61.9
matgl,JVASP-1372,-0.531578663,188.0256102,133.5188757,5.72422,5.72422,5.7242,14546.78732,11927.6099,0.009863926
mace,JVASP-1372,-0.495745639,187.6821866,124.7769997,5.729,5.729,5.729,82.0359931,56.3199711,52.23432187
chgnet,JVASP-1372,-0.481470753,187.3334626,110.5808795,5.73338,5.73338,5.73338,68.47368541,60.52913094,22.50740861
sevennet,JVASP-1372,-0.496025238,188.0795733,127.8032707,5.72799,5.72799,5.72799,101.9600674,52.17154874,59.13062275
alignn_ff,JVASP-1372,-0.385683283,162.9673104,168.3694507,5.4509,5.4509,5.45091,3.895371915,0.692685822,4.192008877
JARVIS,JVASP-1372,-0.57639,187.650286,68.87,5.7251,5.7251,5.7251,105.4,50.6,52.7
matgl,JVASP-1393,-0.392851455,167.8737956,151.3106061,5.5099,5.50989,5.5099,14315.94556,9895.39533,8032.747636
sevennet,JVASP-1393,-0.42255442,166.409287,144.0227666,5.50662,5.50662,5.50662,101.495935,56.79864978,52.46156934
mace,JVASP-1393,-0.372811883,167.3931855,129.2318372,5.51278,5.51278,5.51278,91.08070256,58.72295056,44.97911227
chgnet,JVASP-1393,-0.36253959,165.9813858,132.2897834,5.50222,5.50222,5.50222,99.058726,74.97228231,37.67482969
alignn_ff,JVASP-1393,-0.18494492,158.9549411,148.5942678,5.42102,5.42102,5.42102,3.633054202,3.365701026,1.313768619
JARVIS,JVASP-1393,-0.43103,166.3269071,77.43,5.49947,5.49947,5.49947,125.9,53.2,65.2
chgnet,JVASP-1408,-0.267874328,239.032898,87.66240543,6.20753,6.20753,6.20753,57.44088977,49.820729,37.71841352
mace,JVASP-1408,-0.174573426,240.7958346,96.26663716,6.22123,6.22123,6.22123,61.46902662,46.23380287,40.22232154
sevennet,JVASP-1408,-0.183917777,242.2124347,95.8064104,6.23018,6.23018,6.23018,69.07651694,40.5881189,38.29956051
matgl,JVASP-1408,-0.173938796,244.7169573,97.7358871,6.25171,6.25171,6.25171,8145.941871,7113.679939,4305.148936
alignn_ff,JVASP-1408,-0.372928084,250.8608086,75.38056034,6.2257,6.2257,6.2257,-0.28535139,-0.092544937,0.32085365
JARVIS,JVASP-1408,-0.24311,241.3040261,50.43,6.2257,6.2257,6.2257,76.9,37.2,36.8
mace,JVASP-14812,-0.000800145,136.7598071,51.97353936,3.644939,3.644939,11.91808,54.24630503,27.45245807,9.292273542
matgl,JVASP-14812,-0.000500397,136.0776115,43.99733351,3.634362,3.634362,11.86981,6350.382998,4151.701504,879.9977958
chgnet,JVASP-14812,-0.000950616,136.1283712,49.1406313,3.645343,3.645343,11.88347,43.91010242,23.87864964,5.038843607
sevennet,JVASP-14812,-1.91E-05,135.8142035,46.99410125,3.647274,3.647274,11.78983,37.84309721,30.84757496,5.054730991
alignn_ff,JVASP-14812,-6.18E-05,137.9738924,53.74749027,3.648596,3.648596,11.17928,7.086760793,5.819966089,1.134585102
JARVIS,JVASP-14812,0,130.1704288,39.39,3.59939,3.59939,11.60174,71.1,27.5,21.8
mace,JVASP-14837,0.00067706,27.02696875,191.8882776,2.99818,2.99818,2.99818,242.3392926,149.3953675,-5.646700192
matgl,JVASP-14837,-0.000239326,26.75452007,186.0973964,2.99041,2.99041,2.99041,46069.04433,22465.28458,7606.486013
chgnet,JVASP-14837,0.000643135,26.84359021,205.1195361,2.99627,2.99627,2.99627,243.3861757,139.8221629,49.55204172
sevennet,JVASP-14837,0.000650674,26.9602876,193.7462834,2.99937,2.99937,2.99937,284.6655587,149.5721133,-4.506783648
alignn_ff,JVASP-14837,-0.052416056,19.22289889,265.0877389,2.65506,2.65506,2.65506,16.75862037,14.9689977,4.370652126
JARVIS,JVASP-14837,0,26.69068873,183.4,2.9885,2.9885,2.9885,267,141.6,4.3
mace,JVASP-1702,-0.801722851,161.3662179,125.8844346,5.44629,5.44629,5.44629,85.0640892,56.41784778,45.23549073
matgl,JVASP-1702,-0.832473346,161.6035617,127.0412401,5.45076,5.45076,5.45076,12260.63228,9891.677219,4889.344575
chgnet,JVASP-1702,-1.021286344,161.6563298,130.5948561,5.4479,5.4479,5.4479,83.01509431,50.355136,35.4258182
sevennet,JVASP-1702,-0.812571077,161.4758977,128.8918505,5.45174,5.45174,5.45174,97.86453559,57.84381395,54.75291222
alignn_ff,JVASP-1702,-0.880194347,144.2720104,103.1793837,5.28919,5.28919,5.28919,2.323757647,1.271123405,1.10437371
JARVIS,JVASP-1702,-0.88682,160.3649757,72.53,5.43296,5.43296,5.43296,98.6,59.5,45.6
mace,JVASP-21195,0.001370743,31.894714,272.0839034,3.16998,3.16998,3.16998,343.757521,234.6404076,38.48133951
matgl,JVASP-21195,0.00041913,31.72080889,270.5405662,3.16406,3.16405,3.16405,60481.97881,33388.49001,6533.469123
chgnet,JVASP-21195,0.002692123,31.8435623,269.4223782,3.16858,3.16858,3.16858,369.1097614,258.1487107,43.0175048
sevennet,JVASP-21195,0.000446389,31.86050345,250.831509,3.16736,3.16736,3.16736,322.2970691,217.7769498,6.150384139
JARVIS,JVASP-21195,0,31.62884719,262.17,3.16248,3.16248,3.16248,460.1,163.2,97.1
mace,JVASP-23,-0.482329309,290.5300092,69.08833622,6.61964,6.61964,6.61964,46.13240101,39.39052959,24.9285219
matgl,JVASP-23,-0.459974956,291.7296439,64.07615871,6.63389,6.63389,6.63389,6156.7566,5740.536159,1947.938276
chgnet,JVASP-23,-0.616999222,292.4458223,53.30224235,6.6335,6.6335,6.6335,33.99018457,29.7656385,15.44769461
sevennet,JVASP-23,-0.483856193,291.3534157,67.68550154,6.62965,6.62965,6.62965,42.70424405,30.23780501,27.61530971
alignn_ff,JVASP-23,-0.44474362,276.2300297,34.58289391,6.58322,6.58322,6.58322,0.93395968,0.976785145,-0.877330137
JARVIS,JVASP-23,-0.40907,285.3087599,37.83,6.58322,6.58322,6.58322,47.9,32.8,17.9
chgnet,JVASP-30,-0.595087578,46.65874956,244.7452538,3.214752,3.214752,5.21528,329.186512,152.5605328,67.14146503
mace,JVASP-30,-0.477021223,46.61814714,264.9537827,3.210891,3.210891,5.22181,364.5914547,123.6086993,88.51347755
sevennet,JVASP-30,-0.473081954,47.00915359,270.0749555,3.215621,3.215621,5.24712,350.3907546,115.6195222,85.34870364
alignn_ff,JVASP-30,0.154090745,41.74621686,125.2828297,3.060822,3.060822,5.09938,19.09365525,8.942180042,0.857639464
matgl,JVASP-30,-0.472452077,46.9961946,244.0457871,3.215299,3.215299,5.24583,42360.01487,18486.29215,7642.608172
JARVIS,JVASP-30,-0.57106,46.800956,178.97,3.21128,3.21128,5.24044,333.4,119.1,107.2
mace,JVASP-32,-2.925333713,262.9897582,581.1688144,4.810065,4.810065,13.10346,428.883262,178.9366533,136.3130161
matgl,JVASP-32,-3.025930666,264.4219308,613.8036226,4.802189,4.802189,13.16044,59000.09909,27559.2174,15753.20918
chgnet,JVASP-32,-3.435043826,263.2743147,546.3319414,4.811212,4.811212,13.11735,396.6629654,179.2574645,115.2940139
sevennet,JVASP-32,-3.029171651,263.0112932,605.448459,4.808556,4.808556,13.1209,443.5198953,187.5607532,135.4502068
alignn_ff,JVASP-32,-1.706971374,247.3529895,252.8002218,4.595867,4.595867,12.73775,3.859618068,2.999653261,0.32932826
JARVIS,JVASP-32,-3.31332,261.7153163,241.28,4.803484,4.803484,13.09743,469.8,153.3,158.3
mace,JVASP-34674,-2.717278708,339.9927965,488.2759703,8.08808,8.771,4.77792,345.9180065,38.41693851,157.4942344
matgl,JVASP-34674,-2.794306334,330.7577686,449.770657,7.88994,8.77384,4.76462,48674.22407,9131.105933,19707.11461
chgnet,JVASP-34674,-3.274290493,339.4683376,481.4881385,8.12651,8.75601,4.75444,335.7368741,42.79923926,145.3471119
sevennet,JVASP-34674,-2.809911019,339.4885313,497.7183025,8.09986,8.7569,4.76799,356.5410392,34.22264471,162.7830087
alignn_ff,JVASP-34674,-1.647290444,319.4143159,63.59135117,7.70354,8.63712,4.56125,22.47126149,-0.865454257,5.081520339
JARVIS,JVASP-34674,-2.87672,328.6953082,41.54,7.88005,8.73277,4.77653,24.8,6.4,30.2
matgl,JVASP-35106,-1.173736604,86.62644464,349.4146956,4.43093,4.43093,4.43094,33887.37235,23758.44515,1.644273119
chgnet,JVASP-35106,-1.332895952,87.1091162,337.877778,4.43535,4.43535,4.43535,235.7139571,170.463767,139.828282
mace,JVASP-35106,-1.168020534,86.97738527,351.9267694,4.4313,4.4313,4.4313,261.1826822,151.3606131,163.7758869
sevennet,JVASP-35106,-1.177112186,87.22504836,387.2130502,4.43577,4.43577,4.43577,263.6236268,156.9509512,174.7777502
alignn_ff,JVASP-35106,-0.512373809,72.71176742,540.2975154,4.06081,4.06081,4.06081,12.72089616,8.825545446,4.744540345
JARVIS,JVASP-35106,-1.36392,87.40424705,193.47,4.4379,4.4379,4.4379,282.4,149,173.3
chgnet,JVASP-39,-1.58971579,42.38226497,285.6895179,3.130843,3.130843,5.00569,339.9791847,142.248757,75.78501229
mace,JVASP-39,-1.420674388,42.32844781,291.8133438,3.126443,3.126443,5.00774,374.5025496,104.0541206,104.3864159
sevennet,JVASP-39,-1.416294594,42.43556428,305.4985461,3.127541,3.127541,5.01512,395.8495779,115.2141358,108.4242112
matgl,JVASP-39,-1.422967048,42.26593224,307.1554385,3.125184,3.125198,5.01335,54505.51625,19548.39801,12422.63177
alignn_ff,JVASP-39,-0.613621864,35.78264278,288.5635821,2.837108,2.837108,4.88361,37.96044726,16.98241041,8.245684351
JARVIS,JVASP-39,-1.64948,42.60313771,199.4,3.130036,3.130036,5.02125,385.2,131.8,126.7
mace,JVASP-41,-2.72514959,117.864993,331.93478,4.983193,4.983193,5.47111,290.7659011,112.2794548,163.9376244
matgl,JVASP-41,-2.792785671,115.2682805,297.3964449,4.951415,4.951415,5.42467,41583.20973,14092.29133,18378.49535
chgnet,JVASP-41,-3.277534684,118.2131704,323.6855231,4.995558,4.995558,5.4616,267.0655466,104.4152134,149.6859493
sevennet,JVASP-41,-2.820619644,118.2743861,332.4663453,4.987082,4.987082,5.48607,315.7033577,82.1452944,168.6163589
alignn_ff,JVASP-41,-1.683090999,118.2957312,477.9392176,4.892003,4.892003,5.30697,30.61701545,4.885141344,18.65913226
JARVIS,JVASP-41,-2.90128,115.0386774,39.41,4.937258,4.937258,5.44931,81.5,12.6,34.4
mace,JVASP-7630,-0.095238952,110.9540444,278.5224245,4.80644,4.80644,4.80644,196.7904484,127.4771894,127.4490066
matgl,JVASP-7630,-0.083079876,110.4978122,222.8468176,4.81408,4.81479,4.81405,17027.55707,17168.17583,4747.179874
sevennet,JVASP-7630,-0.046946563,111.3908549,263.3917754,4.81651,4.81651,4.81651,186.090127,99.43969696,127.2229998
chgnet,JVASP-7630,-0.176613147,113.1453674,280.2029582,4.84719,4.84719,4.84719,152.0650795,93.24236582,59.24914776
alignn_ff,JVASP-7630,-0.033329916,107.5717864,456.0216041,4.72428,4.72428,4.72428,23.8654111,1.367356123,10.8239965
JARVIS,JVASP-7630,-0.01546,111.7371009,133.37,4.81651,4.81651,4.81651,268.3,65.9,144.2
mace,JVASP-7762,-0.902482455,271.3409867,73.21947293,6.47368,6.47368,6.47368,51.03148633,37.68194032,29.56396317
matgl,JVASP-7762,-0.886856308,276.4482262,61.09271101,6.51035,6.51035,6.51035,5794.124187,5298.828583,3112.888852
sevennet,JVASP-7762,-0.900743849,275.9551652,68.56540164,6.51093,6.51093,6.51093,45.5004457,29.93299578,28.22746123
chgnet,JVASP-7762,-1.078249403,274.2980614,67.19154973,6.50718,6.50718,6.50718,49.96520533,42.30079469,16.99294383
alignn_ff,JVASP-7762,-1.129283351,266.8947102,51.8829106,6.4644,6.4644,6.4644,0.255420528,0.349295541,-0.378891219
JARVIS,JVASP-7762,-0.95191,270.1373684,36.67,6.4644,6.4644,6.4644,46.8,31.6,18.1
chgnet,JVASP-7844,-1.56328294,85.03961702,360.8979231,4.39901,4.39901,4.39901,258.6836959,183.7475407,151.6138684
mace,JVASP-7844,-1.403161862,84.89240815,365.0363623,4.396,4.396,4.396,265.4195735,153.1328252,172.1448807
sevennet,JVASP-7844,-1.402486785,85.0918339,410.3363233,4.40001,4.40001,4.40001,268.68278,168.1412404,174.6465402
matgl,JVASP-7844,-1.409799638,84.96490684,402.5380637,4.39943,4.39942,4.39941,39773.2746,27609.68744,-0.392489974
alignn_ff,JVASP-7844,-0.723091632,70.65091313,674.8469862,4.05715,4.05715,4.05715,3.491784579,27.94531807,1.345165249
JARVIS,JVASP-7844,-1.62907,85.39849498,198.63,4.40369,4.40369,4.40369,289.5,153.2,184.5
mace,JVASP-79204,-1.234944628,23.88926861,623.3203736,2.55655,2.55655,4.21301,842.1363542,269.8666621,213.9873813
chgnet,JVASP-79204,-1.361840158,23.91323615,571.1557653,2.556577,2.556577,4.21729,676.2937108,256.444504,148.7078337
matgl,JVASP-79204,-1.230671249,23.83803449,508.3958903,2.560076,2.560076,4.22535,77433.42025,37146.71786,13959.81349
sevennet,JVASP-79204,-1.195418611,23.84083493,687.1471494,2.555502,2.555502,4.22232,783.8447415,204.261987,227.8015568
JARVIS,JVASP-79204,-1.31808,23.87486218,377.98,2.554221,2.554221,4.22565,937,132.7,402.2
mace,JVASP-8003,-0.640396349,210.0006304,96.48571984,5.9459,5.9459,5.9459,61.50197397,47.88775985,33.56974141
chgnet,JVASP-8003,-0.849010356,209.4263973,95.46257742,5.93819,5.93819,5.93819,60.17424782,46.4686254,28.72331965
matgl,JVASP-8003,-0.635923122,209.6670124,103.283602,5.94069,5.94069,5.94069,9887.225224,9606.93816,3896.354145
sevennet,JVASP-8003,-0.638083772,209.5056582,96.37159576,5.94232,5.94232,5.94232,57.91117474,47.55973578,42.81919621
JARVIS,JVASP-8003,-0.67041,206.0041246,57.1,5.90598,5.90598,5.90598,68.7,51.3,23.9
mace,JVASP-802,4.13E-05,45.09029329,109.9488008,3.174999,3.174999,5.16482,147.6503473,86.76915568,19.17021939
matgl,JVASP-802,0.001302956,45.51000119,68.52821526,3.178969,3.178974,5.19072,13350.73331,11044.48934,1233.56164
chgnet,JVASP-802,-0.000261833,44.69274381,109.7319152,3.169238,3.169238,5.1463,134.3412915,105.6934524,10.73700061
sevennet,JVASP-802,-0.00079324,44.8992383,113.1095139,3.197714,3.197714,5.0761,110.3550301,96.22684457,14.38029322
alignn_ff,JVASP-802,0.035170408,45.33033662,124.5623656,3.161097,3.161097,5.01061,13.87214538,15.43324745,2.180982148
JARVIS,JVASP-802,0,44.08269701,112.02,3.18008,3.18008,5.0334,179.2,77.3,50.9
mace,JVASP-810,-4.36E-05,182.5864972,39.64620032,4.010944,4.010944,13.10754,43.6882279,18.28363141,6.6650144
